ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,-0.023735,0.148304,-0.160039,5.000000,0.560443,0.906689
2,1399,139,1.000000,-0.109366,0.311632,-0.350946,5.000000,0.630034,0.906689
3,4863,486,1.000000,-0.097502,0.188275,-0.517870,5.000000,0.686680,0.906689
4,5104,510,1.000000,-0.144066,0.224779,-0.640925,5.000000,0.725105,0.906689
5,888,88,1.000000,-0.000311,0.152557,-0.002037,5.000000,0.500773,0.906689
6,1015,101,1.000000,-0.059763,0.145838,-0.409792,5.000000,0.650538,0.906689
7,3526,352,1.000000,-0.140226,0.165044,-0.849627,5.000000,0.782841,0.906689
8,3381,338,1.000000,-0.133934,0.264665,-0.506050,5.000000,0.682831,0.906689
9,1858,185,1.000000,-0.091955,0.080359,-1.144297,5.000000,0.847847,0.906689
10,1770,177,1.000000,-0.123258,0.126809,-0.972002,5.000000,0.812154,0.906689
11,2147,214,1.000000,-0.285474,0.182188,-1.566924,5.000000,0.911043,0.911043
12,2371,237,1.000000,-0.178181,0.149697,-1.190278,5.000000,0.856318,0.906689
13,2447,244,1.000000,0.110479,0.193836,0.569962,5.000000,0.296679,0.906689
14,1345,134,1.000000,-0.126779,0.224143,-0.565617,5.000000,0.701954,0.906689
15,2065,206,1.000000,-0.029104,0.283059,-0.102820,5.000000,0.538949,0.906689
16,2222,222,1.000000,-0.223306,0.259873,-0.859290,5.000000,0.785278,0.906689
17,1615,161,1.000000,0.031486,0.167709,0.187743,5.000000,0.429230,0.906689
18,1958,195,1.000000,0.005687,0.144856,0.039261,5.000000,0.485101,0.906689
