ROI,Subject,Effect, LocalizerSize,EffectSize
1,479_FED_20161104a_3T2_PL2017,H, 103,1.277255
1,479_FED_20161104a_3T2_PL2017,E, 103,0.774955
1,479_FED_20161104a_3T2_PL2017,H-E, 103,0.502299
1,424_FED_20161102b_3T1_PL2017,H, 103,1.620091
1,424_FED_20161102b_3T1_PL2017,E, 103,1.198400
1,424_FED_20161102b_3T1_PL2017,H-E, 103,0.421691
1,426_FED_20160908d_3T1_PL2017,H, 103,3.788333
1,426_FED_20160908d_3T1_PL2017,E, 103,1.833268
1,426_FED_20160908d_3T1_PL2017,H-E, 103,1.955065
2,479_FED_20161104a_3T2_PL2017,H, 139,1.838312
2,479_FED_20161104a_3T2_PL2017,E, 139,1.107857
2,479_FED_20161104a_3T2_PL2017,H-E, 139,0.730455
2,424_FED_20161102b_3T1_PL2017,H, 139,2.090754
2,424_FED_20161102b_3T1_PL2017,E, 139,1.467645
2,424_FED_20161102b_3T1_PL2017,H-E, 139,0.623109
2,426_FED_20160908d_3T1_PL2017,H, 139,4.213098
2,426_FED_20160908d_3T1_PL2017,E, 139,2.289466
2,426_FED_20160908d_3T1_PL2017,H-E, 139,1.923632
3,479_FED_20161104a_3T2_PL2017,H, 486,0.771422
3,479_FED_20161104a_3T2_PL2017,E, 486,0.150315
3,479_FED_20161104a_3T2_PL2017,H-E, 486,0.621107
3,424_FED_20161102b_3T1_PL2017,H, 486,2.069194
3,424_FED_20161102b_3T1_PL2017,E, 486,1.704861
3,424_FED_20161102b_3T1_PL2017,H-E, 486,0.364332
3,426_FED_20160908d_3T1_PL2017,H, 486,2.873281
3,426_FED_20160908d_3T1_PL2017,E, 486,-0.005834
3,426_FED_20160908d_3T1_PL2017,H-E, 486,2.879115
4,479_FED_20161104a_3T2_PL2017,H, 510,1.497147
4,479_FED_20161104a_3T2_PL2017,E, 510,0.598809
4,479_FED_20161104a_3T2_PL2017,H-E, 510,0.898338
4,424_FED_20161102b_3T1_PL2017,H, 510,2.160779
4,424_FED_20161102b_3T1_PL2017,E, 510,1.669494
4,424_FED_20161102b_3T1_PL2017,H-E, 510,0.491285
4,426_FED_20160908d_3T1_PL2017,H, 510,3.173017
4,426_FED_20160908d_3T1_PL2017,E, 510,0.844432
4,426_FED_20160908d_3T1_PL2017,H-E, 510,2.328585
5,479_FED_20161104a_3T2_PL2017,H, 88,0.253554
5,479_FED_20161104a_3T2_PL2017,E, 88,-0.016997
5,479_FED_20161104a_3T2_PL2017,H-E, 88,0.270551
5,424_FED_20161102b_3T1_PL2017,H, 88,0.265254
5,424_FED_20161102b_3T1_PL2017,E, 88,0.156894
5,424_FED_20161102b_3T1_PL2017,H-E, 88,0.108360
5,426_FED_20160908d_3T1_PL2017,H, 88,1.643342
5,426_FED_20160908d_3T1_PL2017,E, 88,-0.525815
5,426_FED_20160908d_3T1_PL2017,H-E, 88,2.169157
6,479_FED_20161104a_3T2_PL2017,H, 101,0.617124
6,479_FED_20161104a_3T2_PL2017,E, 101,0.210156
6,479_FED_20161104a_3T2_PL2017,H-E, 101,0.406967
6,424_FED_20161102b_3T1_PL2017,H, 101,1.121624
6,424_FED_20161102b_3T1_PL2017,E, 101,0.502588
6,424_FED_20161102b_3T1_PL2017,H-E, 101,0.619037
6,426_FED_20160908d_3T1_PL2017,H, 101,0.953848
6,426_FED_20160908d_3T1_PL2017,E, 101,-0.554331
6,426_FED_20160908d_3T1_PL2017,H-E, 101,1.508178
7,479_FED_20161104a_3T2_PL2017,H, 352,2.350697
7,479_FED_20161104a_3T2_PL2017,E, 352,1.915813
7,479_FED_20161104a_3T2_PL2017,H-E, 352,0.434884
7,424_FED_20161102b_3T1_PL2017,H, 352,2.113408
7,424_FED_20161102b_3T1_PL2017,E, 352,1.703483
7,424_FED_20161102b_3T1_PL2017,H-E, 352,0.409925
7,426_FED_20160908d_3T1_PL2017,H, 352,5.118956
7,426_FED_20160908d_3T1_PL2017,E, 352,3.045764
7,426_FED_20160908d_3T1_PL2017,H-E, 352,2.073192
8,479_FED_20161104a_3T2_PL2017,H, 338,2.571238
8,479_FED_20161104a_3T2_PL2017,E, 338,1.742041
8,479_FED_20161104a_3T2_PL2017,H-E, 338,0.829198
8,424_FED_20161102b_3T1_PL2017,H, 338,3.086243
8,424_FED_20161102b_3T1_PL2017,E, 338,2.521292
8,424_FED_20161102b_3T1_PL2017,H-E, 338,0.564951
8,426_FED_20160908d_3T1_PL2017,H, 338,4.148404
8,426_FED_20160908d_3T1_PL2017,E, 338,2.874836
8,426_FED_20160908d_3T1_PL2017,H-E, 338,1.273568
9,479_FED_20161104a_3T2_PL2017,H, 185,1.250256
9,479_FED_20161104a_3T2_PL2017,E, 185,0.804176
9,479_FED_20161104a_3T2_PL2017,H-E, 185,0.446080
9,424_FED_20161102b_3T1_PL2017,H, 185,0.499393
9,424_FED_20161102b_3T1_PL2017,E, 185,0.471853
9,424_FED_20161102b_3T1_PL2017,H-E, 185,0.027540
9,426_FED_20160908d_3T1_PL2017,H, 185,2.698789
9,426_FED_20160908d_3T1_PL2017,E, 185,1.017853
9,426_FED_20160908d_3T1_PL2017,H-E, 185,1.680936
10,479_FED_20161104a_3T2_PL2017,H, 177,1.629585
10,479_FED_20161104a_3T2_PL2017,E, 177,0.868217
10,479_FED_20161104a_3T2_PL2017,H-E, 177,0.761368
10,424_FED_20161102b_3T1_PL2017,H, 177,0.481694
10,424_FED_20161102b_3T1_PL2017,E, 177,0.457257
10,424_FED_20161102b_3T1_PL2017,H-E, 177,0.024437
10,426_FED_20160908d_3T1_PL2017,H, 177,2.442604
10,426_FED_20160908d_3T1_PL2017,E, 177,0.390332
10,426_FED_20160908d_3T1_PL2017,H-E, 177,2.052272
11,479_FED_20161104a_3T2_PL2017,H, 214,1.524833
11,479_FED_20161104a_3T2_PL2017,E, 214,0.761529
11,479_FED_20161104a_3T2_PL2017,H-E, 214,0.763304
11,424_FED_20161102b_3T1_PL2017,H, 214,1.670284
11,424_FED_20161102b_3T1_PL2017,E, 214,1.345547
11,424_FED_20161102b_3T1_PL2017,H-E, 214,0.324736
11,426_FED_20160908d_3T1_PL2017,H, 214,2.976894
11,426_FED_20160908d_3T1_PL2017,E, 214,1.310160
11,426_FED_20160908d_3T1_PL2017,H-E, 214,1.666734
12,479_FED_20161104a_3T2_PL2017,H, 237,1.292039
12,479_FED_20161104a_3T2_PL2017,E, 237,0.614992
12,479_FED_20161104a_3T2_PL2017,H-E, 237,0.677046
12,424_FED_20161102b_3T1_PL2017,H, 237,1.706649
12,424_FED_20161102b_3T1_PL2017,E, 237,1.271302
12,424_FED_20161102b_3T1_PL2017,H-E, 237,0.435347
12,426_FED_20160908d_3T1_PL2017,H, 237,2.376664
12,426_FED_20160908d_3T1_PL2017,E, 237,1.121730
12,426_FED_20160908d_3T1_PL2017,H-E, 237,1.254933
13,479_FED_20161104a_3T2_PL2017,H, 244,4.097413
13,479_FED_20161104a_3T2_PL2017,E, 244,2.954207
13,479_FED_20161104a_3T2_PL2017,H-E, 244,1.143206
13,424_FED_20161102b_3T1_PL2017,H, 244,2.155040
13,424_FED_20161102b_3T1_PL2017,E, 244,1.543359
13,424_FED_20161102b_3T1_PL2017,H-E, 244,0.611681
13,426_FED_20160908d_3T1_PL2017,H, 244,3.512587
13,426_FED_20160908d_3T1_PL2017,E, 244,2.019184
13,426_FED_20160908d_3T1_PL2017,H-E, 244,1.493403
14,479_FED_20161104a_3T2_PL2017,H, 134,2.437880
14,479_FED_20161104a_3T2_PL2017,E, 134,1.318481
14,479_FED_20161104a_3T2_PL2017,H-E, 134,1.119399
14,424_FED_20161102b_3T1_PL2017,H, 134,2.656147
14,424_FED_20161102b_3T1_PL2017,E, 134,1.976155
14,424_FED_20161102b_3T1_PL2017,H-E, 134,0.679992
14,426_FED_20160908d_3T1_PL2017,H, 134,5.391044
14,426_FED_20160908d_3T1_PL2017,E, 134,2.992185
14,426_FED_20160908d_3T1_PL2017,H-E, 134,2.398859
15,479_FED_20161104a_3T2_PL2017,H, 206,6.183497
15,479_FED_20161104a_3T2_PL2017,E, 206,4.677213
15,479_FED_20161104a_3T2_PL2017,H-E, 206,1.506283
15,424_FED_20161102b_3T1_PL2017,H, 206,2.357923
15,424_FED_20161102b_3T1_PL2017,E, 206,1.867746
15,424_FED_20161102b_3T1_PL2017,H-E, 206,0.490177
15,426_FED_20160908d_3T1_PL2017,H, 206,3.699793
15,426_FED_20160908d_3T1_PL2017,E, 206,2.507085
15,426_FED_20160908d_3T1_PL2017,H-E, 206,1.192708
16,479_FED_20161104a_3T2_PL2017,H, 222,7.212453
16,479_FED_20161104a_3T2_PL2017,E, 222,5.468840
16,479_FED_20161104a_3T2_PL2017,H-E, 222,1.743614
16,424_FED_20161102b_3T1_PL2017,H, 222,2.394080
16,424_FED_20161102b_3T1_PL2017,E, 222,1.830062
16,424_FED_20161102b_3T1_PL2017,H-E, 222,0.564018
16,426_FED_20160908d_3T1_PL2017,H, 222,5.502709
16,426_FED_20160908d_3T1_PL2017,E, 222,3.747703
16,426_FED_20160908d_3T1_PL2017,H-E, 222,1.755006
17,479_FED_20161104a_3T2_PL2017,H, 161,1.061722
17,479_FED_20161104a_3T2_PL2017,E, 161,0.401573
17,479_FED_20161104a_3T2_PL2017,H-E, 161,0.660149
17,424_FED_20161102b_3T1_PL2017,H, 161,0.489599
17,424_FED_20161102b_3T1_PL2017,E, 161,0.534373
17,424_FED_20161102b_3T1_PL2017,H-E, 161,-0.044774
17,426_FED_20160908d_3T1_PL2017,H, 161,1.827723
17,426_FED_20160908d_3T1_PL2017,E, 161,0.002956
17,426_FED_20160908d_3T1_PL2017,H-E, 161,1.824767
18,479_FED_20161104a_3T2_PL2017,H, 195,0.677433
18,479_FED_20161104a_3T2_PL2017,E, 195,0.252922
18,479_FED_20161104a_3T2_PL2017,H-E, 195,0.424511
18,424_FED_20161102b_3T1_PL2017,H, 195,0.403132
18,424_FED_20161102b_3T1_PL2017,E, 195,0.441384
18,424_FED_20161102b_3T1_PL2017,H-E, 195,-0.038252
18,426_FED_20160908d_3T1_PL2017,H, 195,2.096397
18,426_FED_20160908d_3T1_PL2017,E, 195,0.021170
18,426_FED_20160908d_3T1_PL2017,H-E, 195,2.075227
